title,authors,average_rating,language_code,num_pages,ratings_count,publication_date
The Frogs,Aristophanes/B.B. Rogers,3.8,en-US,88,3,1/1/2005
"Myths of the Underworld Journey: Plato  Aristophanes  and the ""Orphic"" Gold Tablets",Radcliffe G. Edmonds III,3.75,eng,276,3,11/18/2004
Assembly of Women (Literary Classics),Aristophanes/Robert Mayhew,3.77,en-GB,124,56,4/1/1997
Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,5.0,grc,364,0,2/22/1922
Aristophanes and His Theatre of the Absurd,Paul Anthony Cartledge,3.86,eng,127,7,6/1/1991
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Raymond Chandler/Frank MacShane,4.47,eng,1076,1107,10/1/1995
Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window,Raymond Chandler/Frank MacShane,4.5,eng,1199,1324,10/1/1995
The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler/Tom Hiney,4.45,eng,1016,241,10/15/2002
The High Window (Philip Marlowe  #3),Raymond Chandler,4.08,eng,265,13233,8/12/1992
The Simple Art of Murder,Raymond Chandler,4.16,eng,384,4952,9/12/1988
The Big Sleep (Philip Marlowe  #1),Raymond Chandler,4.01,eng,231,103400,7/12/1988
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.22,eng,2,10,9/20/2004
An Evening of Long Goodbyes,Paul Murray,3.6,eng,448,983,9/13/2005
The Long Goodbye: Memories of My Father,Patti   Davis,3.82,eng,205,214,10/1/2005
Ghost In the Shell 2: Innocence: After the Long Goodbye,Masaki Yamada/Yuji Oniki/Carl Gustav Horn,3.97,eng,196,250,10/11/2005
Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,3.89,eng,448,10135,2/24/2006
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,4.04,eng,588,13563,6/12/1996
Freedom Evolves,Daniel C. Dennett,3.83,eng,368,2324,1/27/2004
Brainstorms: Philosophical Essays on Mind and Psychology,Daniel C. Dennett,3.95,eng,424,573,7/13/1981
Kinds of Minds: Towards an Understanding of Consciousness,Daniel C. Dennett,3.82,eng,192,1555,6/12/1997
Leaps of Faith: Science  Miracles & the Search for Supernatural Consolation,Nicholas Humphrey/Daniel C. Dennett,3.61,en-US,244,21,6/4/1999
Elbow Room: The Varieties of Free Will Worth Wanting,Daniel C. Dennett,3.92,eng,212,515,11/21/1984
The Illustrated A Brief History of Time,Stephen Hawking,4.17,eng,256,817,11/1/1996
A Briefer History of Time,Stephen Hawking/Leonard Mlodinow,4.22,eng,176,24035,9/27/2005
The Universe in a Nutshell,Stephen Hawking,4.15,eng,216,29607,11/6/2001
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,4.07,eng,1160,1682,10/4/2005
Stephen Hawking's Universe: The Cosmos Explained,David Filkin/Stephen Hawking,4.29,eng,304,1469,10/9/1998
The Future of Spacetime,Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price,3.94,eng,224,257,6/17/2003
Stephen Hawking's Universe,John Boslough,4.02,eng,160,674,6/1/1989
The Nature of Space and Time,Stephen Hawking/Roger Penrose,4.09,eng,152,989,10/8/2000
The Physics of Star Trek,Lawrence M. Krauss/Stephen Hawking,3.83,eng,188,4774,8/16/1996
Falconry & Hawking,Phillip Glasier,4.31,eng,352,51,2/1/2006
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,4.13,eng,859,371,6/30/1993
The Art of Nonfiction: A Guide for Writers and Readers,Ayn Rand/Robert Mayhew/Peter   Schwartz,3.96,en-US,192,429,2/1/2001
The Journals of Ayn Rand,Ayn Rand/Leonard Peikoff/David Harriman,3.94,eng,752,317,8/1/1999
The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life,Nancy L. Mace/Peter V. Rabins,4.24,eng,624,69,11/1/2006
The 3-Hour Diet: On the Go,Jorge Cruise,3.1,en-US,192,31,10/18/2005
The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late,Thom Hartmann/Joseph Chilton Pearce/Neale Donald Walsch,4.23,en-US,400,1392,4/27/2004
Specimen Days,Michael Cunningham,3.58,eng,336,4462,4/18/2006
A Home at the End of the World,Michael Cunningham,3.91,eng,342,14769,7/1/2004
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.93,en-US,277,4254,1/11/2005
Blink,Ted Dekker,4.17,eng,400,13334,10/11/2004
Blink-182: Tales from Beneath Your Mom,Mark Hoppus/Anne Hoppus/Alex Gaskarth,4.39,eng,112,169,10/2/2001
The Complete Novels,Jane Austen/Hugh  Thomson,4.55,eng,1103,300,9/3/1995
The Jane Austen Book Club,Karen Joy Fowler,3.08,eng,288,57720,4/26/2005
Jane Austen: The Complete Novels,Jane Austen,4.55,eng,1103,267,6/1/1994
Jane Austen's Letters,Jane Austen/Deirdre Le Faye,4.16,eng,672,2278,4/3/1997
Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,4.14,eng,249,441462,3/18/2004
Tea with Jane Austen,Kim Wilson/Tom Carpenter,3.79,eng,128,1442,9/3/2004
The Old Man and the Sea,Ernest Hemingway/Donald Sutherland,3.77,eng,3,393,5/1/2006
Cliffs Notes on Hemingway's The Old Man and the Sea,Jeanne Sallade Criswell/Gary Carey,2.83,en-US,80,4,12/5/2000
Flaubert's Parrot,Julian Barnes,3.66,eng,190,9373,11/27/1990
Flaubert in Egypt: A Sensibility on Tour,Gustave Flaubert/Francis Steegmuller,3.62,eng,230,378,3/30/1996
Three Tales,Gustave Flaubert/Roger Whitehouse/Geoffrey Wall,3.69,eng,110,3190,1/27/2005
Sentimental Education,Gustave Flaubert/Robert Baldick/Geoffrey Wall,3.83,eng,460,13499,2/5/2004
The Family Idiot 5: Gustave Flaubert 1821-1857,Jean-Paul Sartre/Carol Cosman,3.8,en-US,632,5,1/26/1994
Middlesex,Jeffrey Eugenides,4.0,eng,529,540349,9/16/2003
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,eng,916,133840,9/26/2006
John Adams,David McCullough,4.06,eng,751,282649,5/22/2001
The John Adams Reader: Eseential Writings on an American Composer,Thomas May/John   Adams,3.5,eng,455,20,6/1/2006
The Letters of John and Abigail Adams,Abigail Adams/Frank Shuffelton,4.14,eng,512,275,12/30/2003
Passionate Sage: The Character and Legacy of John Adams,Joseph J. Ellis,4.05,eng,288,2622,2/17/2001
The Portable John Adams,John  Adams/John Patrick Diggins,4.17,eng,533,57,6/29/2004
Sex For Dummies,Ruth Westheimer,3.65,eng,432,10,12/28/2000
Baby Signing For Dummies,Jennifer Watson,3.64,eng,257,37,10/1/2006
The Feeling Good Handbook,David D. Burns,4.0,eng,729,4797,10/28/1999
The Last Dance: Encountering Death and Dying,Lynne Ann DeSpelder/Albert Lee Strickland,3.77,eng,664,123,2/6/2004
